,Speed,TimeSinceLast,DistinctIds,VideoForumThreads,DurationOfVideoActivity,SelectiveNumOfEvents,ProblemID,UserID,SubmissionNumber
1892,73.1666666667,439.0,0.0,10.0,0.0,0.0,11,6f070ae12ae77134b9b39d6ab33d2638,54
1893,11377.5,68265.0,0.0,51.0,0.0,0.0,11,6f070ae12ae77134b9b39d6ab33d2638,56
1894,156.25,625.0,1.0,11.0,37.0,1.0,11,8b964f2b27c6900a9aee9d79c0fcda08,2
1895,63.0,252.0,0.0,1.0,0.0,0.0,11,8b964f2b27c6900a9aee9d79c0fcda08,4
1896,89.25,357.0,0.0,2.0,0.0,0.0,11,8b964f2b27c6900a9aee9d79c0fcda08,19
1897,37117.75,148471.0,0.0,13.0,0.0,0.0,11,c44aefa452b252e19ccd74db44fd6352,1
1898,21816.25,87265.0,0.0,19.0,0.0,0.0,11,c44aefa452b252e19ccd74db44fd6352,2
1899,69513.25,278053.0,0.0,5.0,0.0,0.0,11,c44aefa452b252e19ccd74db44fd6352,3
1900,396.2,1981.0,0.0,2.0,0.0,0.0,11,24ceb4477e29acde12035499e73d83bd,3
1901,1002.6,5013.0,0.0,10.0,0.0,0.0,11,24ceb4477e29acde12035499e73d83bd,8
1902,306.6,1533.0,3.0,0.0,39.0,0.0,11,24ceb4477e29acde12035499e73d83bd,16
1903,9050.4,45252.0,0.0,47.0,0.0,0.0,11,24ceb4477e29acde12035499e73d83bd,17
1904,12064.2,60321.0,0.0,26.0,0.0,0.0,11,fb96ddbe5441dd47a777b7e873648489,2
1905,82.4,412.0,0.0,5.0,0.0,0.0,11,fb96ddbe5441dd47a777b7e873648489,5
1906,11820.2,59101.0,0.0,3.0,0.0,0.0,11,fb96ddbe5441dd47a777b7e873648489,6
1907,40.2,201.0,0.0,2.0,0.0,0.0,11,fb96ddbe5441dd47a777b7e873648489,8
1908,529.0,1058.0,0.0,3.0,0.0,0.0,11,44bdfeb52695b29a474b61df16b1a14b,1
1909,486.0,972.0,0.0,13.0,0.0,0.0,11,e5aaee7705270bf5a9a4f9be1ec4e9e0,2
1910,3661.4,18307.0,0.0,85.0,0.0,0.0,11,192b365afe5ccea2bd1366d38f3d1ed2,3
1911,60.2,301.0,0.0,3.0,0.0,0.0,11,192b365afe5ccea2bd1366d38f3d1ed2,5
1912,118.8,594.0,1.0,21.0,79.0,5.0,11,192b365afe5ccea2bd1366d38f3d1ed2,7
1913,235.0,1175.0,0.0,11.0,0.0,0.0,11,192b365afe5ccea2bd1366d38f3d1ed2,16
1914,193.666666667,581.0,0.0,8.0,0.0,0.0,11,51500b00bc829e88dc07648239ed41ca,2
1915,21433.3333333,64300.0,6.0,0.0,7670.0,43.0,11,51500b00bc829e88dc07648239ed41ca,12
1916,96.5,193.0,0.0,5.0,0.0,0.0,11,ca21b5b80c96304f8da017d5771ce887,4
1917,234.666666667,704.0,0.0,5.0,0.0,0.0,11,d34a200ea055d49be8fee847d5ab1901,3
1918,1337.0,4011.0,0.0,1.0,0.0,0.0,11,d34a200ea055d49be8fee847d5ab1901,4
